,Date,Advances,Unchanged,Declines,Total,pct_Adv,pct_Unc,pct_Dec,MA20,MA60,MA200,pct_MA20,pct_MA60,pct_MA200,RSI>70,RSI<30,pct_RSI>70,pct_RSI<30,MACD>0,MACD>Signal,pct_MACD>0,pct_MACD>Signal,New_High_20d,New_High_60d,New_High_250d,New_Low_20d,New_Low_60d,New_Low_250d,pct_New_High_20d,pct_New_High_60d,pct_New_High_250d,pct_New_Low_20d,pct_New_Low_60d,pct_New_Low_250d
162,2020-07-22,16,11,53,80,20.0,13.75,66.25,43,49,0,53.75,61.25,0.0,6,1,7.5,1.25,40,39,50.0,48.75,8,5,0,3,0,0,10.0,6.25,0.0,3.75,0.0,0.0
163,2020-07-23,36,19,25,80,45.0,23.75,31.25,49,45,0,61.25,56.25,0.0,5,1,6.25,1.25,42,42,52.5,52.5,5,2,0,2,0,0,6.25,2.5,0.0,2.5,0.0,0.0
164,2020-07-24,18,15,47,80,22.5,18.75,58.75,42,45,0,52.5,56.25,0.0,5,1,6.25,1.25,41,39,51.25,48.75,2,2,0,1,1,0,2.5,2.5,0.0,1.25,1.25,0.0
165,2020-07-29,23,19,38,80,28.75,23.75,47.5,34,43,0,42.5,53.75,0.0,5,1,6.25,1.25,40,35,50.0,43.75,4,3,0,3,1,0,5.0,3.75,0.0,3.75,1.25,0.0
166,2020-07-30,8,10,62,80,10.0,12.5,77.5,22,36,0,27.5,45.0,0.0,3,2,3.75,2.5,36,26,45.0,32.5,5,3,0,19,6,0,6.25,3.75,0.0,23.75,7.5,0.0
167,2020-07-31,39,27,14,80,48.75,33.75,17.5,26,37,0,32.5,46.25,0.0,5,4,6.25,5.0,35,27,43.75,33.75,4,4,0,22,5,0,5.0,5.0,0.0,27.5,6.25,0.0
168,2020-08-03,43,14,23,80,53.75,17.5,28.75,35,39,0,43.75,48.75,0.0,8,3,10.0,3.75,35,32,43.75,40.0,5,4,0,8,3,0,6.25,5.0,0.0,10.0,3.75,0.0
169,2020-08-04,38,19,23,80,47.5,23.75,28.75,40,38,0,50.0,47.5,0.0,5,2,6.25,2.5,33,36,41.25,45.0,5,4,0,1,0,0,6.25,5.0,0.0,1.25,0.0,0.0
170,2020-08-05,34,19,27,80,42.5,23.75,33.75,42,43,0,52.5,53.75,0.0,5,3,6.25,3.75,35,36,43.75,45.0,9,5,0,1,0,0,11.25,6.25,0.0,1.25,0.0,0.0
171,2020-08-06,27,12,41,80,33.75,15.0,51.25,40,42,0,50.0,52.5,0.0,2,2,2.5,2.5,38,37,47.5,46.25,9,6,0,2,0,0,11.25,7.5,0.0,2.5,0.0,0.0
172,2020-08-07,19,21,40,80,23.75,26.25,50.0,40,39,0,50.0,48.75,0.0,3,2,3.75,2.5,41,37,51.25,46.25,5,3,0,3,1,0,6.25,3.75,0.0,3.75,1.25,0.0
173,2020-08-10,37,18,25,80,46.25,22.5,31.25,42,37,0,52.5,46.25,0.0,7,4,8.75,5.0,38,40,47.5,50.0,9,4,0,6,4,0,11.25,5.0,0.0,7.5,5.0,0.0
174,2020-08-11,37,19,24,80,46.25,23.75,30.0,42,39,0,52.5,48.75,0.0,6,3,7.5,3.75,38,41,47.5,51.25,12,8,0,1,0,0,15.0,10.0,0.0,1.25,0.0,0.0
175,2020-08-13,31,11,38,80,38.75,13.75,47.5,43,45,0,53.75,56.25,0.0,5,1,6.25,1.25,39,49,48.75,61.25,11,4,0,2,0,0,13.75,5.0,0.0,2.5,0.0,0.0
176,2020-08-14,15,16,49,80,18.75,20.0,61.25,34,38,0,42.5,47.5,0.0,6,2,7.5,2.5,39,46,48.75,57.5,5,3,0,7,3,0,6.25,3.75,0.0,8.75,3.75,0.0
177,2020-08-17,19,13,48,80,23.75,16.25,60.0,31,32,0,38.75,40.0,0.0,6,3,7.5,3.75,36,41,45.0,51.25,8,6,0,13,3,0,10.0,7.5,0.0,16.25,3.75,0.0
178,2020-08-18,32,20,28,80,40.0,25.0,35.0,30,32,0,37.5,40.0,0.0,5,3,6.25,3.75,36,34,45.0,42.5,5,4,0,5,3,0,6.25,5.0,0.0,6.25,3.75,0.0
179,2020-08-19,6,7,67,80,7.5,8.75,83.75,22,25,0,27.5,31.25,0.0,4,4,5.0,5.0,32,27,40.0,33.75,2,2,0,20,8,0,2.5,2.5,0.0,25.0,10.0,0.0
180,2020-08-20,22,15,43,80,27.5,18.75,53.75,23,28,0,28.75,35.0,0.0,4,8,5.0,10.0,30,22,37.5,27.5,0,0,0,26,13,0,0.0,0.0,0.0,32.5,16.25,0.0
181,2020-08-21,32,17,31,80,40.0,21.25,38.75,23,28,0,28.75,35.0,0.0,4,9,5.0,11.25,29,22,36.25,27.5,2,2,0,10,6,0,2.5,2.5,0.0,12.5,7.5,0.0
182,2020-08-24,52,13,15,80,65.0,16.25,18.75,28,31,0,35.0,38.75,0.0,5,3,6.25,3.75,28,23,35.0,28.75,4,2,0,8,3,0,5.0,2.5,0.0,10.0,3.75,0.0
183,2020-08-25,38,15,27,80,47.5,18.75,33.75,34,32,0,42.5,40.0,0.0,7,1,8.75,1.25,29,27,36.25,33.75,9,4,0,3,0,0,11.25,5.0,0.0,3.75,0.0,0.0
184,2020-08-26,52,17,11,80,65.0,21.25,13.75,37,36,0,46.25,45.0,0.0,8,1,10.0,1.25,31,34,38.75,42.5,9,5,0,2,0,0,11.25,6.25,0.0,2.5,0.0,0.0
185,2020-08-27,41,16,23,80,51.25,20.0,28.75,45,37,0,56.25,46.25,0.0,7,1,8.75,1.25,33,42,41.25,52.5,5,2,0,2,0,0,6.25,2.5,0.0,2.5,0.0,0.0
186,2020-08-28,32,16,32,80,40.0,20.0,40.0,44,37,0,55.0,46.25,0.0,4,1,5.0,1.25,34,49,42.5,61.25,4,1,0,1,1,0,5.0,1.25,0.0,1.25,1.25,0.0
187,2020-08-31,16,16,48,80,20.0,20.0,60.0,39,31,0,48.75,38.75,0.0,6,1,7.5,1.25,34,50,42.5,62.5,6,2,0,2,0,0,7.5,2.5,0.0,2.5,0.0,0.0
188,2020-09-01,16,14,50,80,20.0,17.5,62.5,33,31,0,41.25,38.75,0.0,5,0,6.25,0.0,33,47,41.25,58.75,3,1,0,4,1,0,3.75,1.25,0.0,5.0,1.25,0.0
